line_ID,character,line
11,Angela,1
11,Todd Packer,3
11,Stanley,5
11,Ryan,8
11,Roy,5
11,Pam,40
11,Phyllis,2
11,Michael,82
11,Kevin,1
11,Jim,36
11,Jan,12
11,Dwight,28
11,Oscar,3
12,Oscar,13
12,Toby,2
12,Stanley,5
12,Ryan,4
12,Michael,75
12,Pam,12
12,Kelly,2
12,Jim,25
12,Dwight,17
12,Angela,4
12,Kevin,8
13,Stanley,6
13,Ryan,1
13,Pam,32
13,Oscar,9
13,Michael,56
13,Meredith,3
13,Jim,42
13,Jan,18
13,Dwight,62
13,Angela,5
13,Kevin,6
14,Pam,22
14,Toby,4
14,Ryan,4
14,Roy,3
14,Phyllis,5
14,Oscar,14
14,Stanley,2
14,Meredith,10
14,Kevin,3
14,Jim,49
14,Dwight,47
14,Angela,7
14,Michael,67
15,Stanley,3
15,Ryan,8
15,Roy,12
15,Phyllis,4
15,Pam,14
15,Oscar,2
15,Michael,103
15,Jim,21
15,Dwight,25
15,Darryl,15
15,Angela,3
15,Kevin,1
16,Toby,6
16,Stanley,3
16,Ryan,12
16,Roy,14
16,Oscar,1
16,Pam,42
16,Kevin,4
16,Jim,55
16,Jan,8
16,Dwight,28
16,Angela,3
16,Michael,105
21,Stanley,8
21,Ryan,2
21,Roy,6
21,Phyllis,10
21,Pam,41
21,Oscar,2
21,Michael,96
21,Kelly,7
21,Jim,32
21,Jan,9
21,Dwight,32
21,Darryl,1
21,Angela,1
21,Kevin,1
22,Phyllis,6
22,Todd Packer,19
22,Toby,26
22,Stanley,1
22,Ryan,1
22,Roy,14
22,Michael,99
22,Pam,27
22,Kevin,6
22,Jim,16
22,Jan,11
22,Dwight,11
22,Darryl,9
22,Angela,2
22,Meredith,1
23,Meredith,1
23,Stanley,3
23,Ryan,5
23,Phyllis,2
23,Pam,30
23,Oscar,10
23,Jim,54
23,Kevin,8
23,Dwight,55
23,Carol,15
23,Angela,6
23,Michael,83
24,Pam,22
24,Phyllis,6
24,Meredith,4
24,Ryan,40
24,Stanley,5
24,Roy,6
24,Oscar,4
24,Kelly,4
24,Kevin,4
24,Jim,51
24,Dwight,64
24,Angela,17
24,Michael,69
25,Ryan,1
25,Phyllis,3
25,Pam,27
25,Oscar,7
25,Michael,108
25,Jim,30
25,Kelly,3
25,Dwight,32
25,Creed,16
25,Angela,13
25,Stanley,3
25,Kevin,2
26,Ryan,17
26,Kelly,3
26,Toby,5
26,Stanley,3
26,Pam,25
26,Dwight,64
26,Kevin,3
26,Jim,49
26,Michael,85
26,Angela,3
27,Toby,1
27,Ryan,6
27,Roy,1
27,Phyllis,4
27,Oscar,4
27,Pam,31
27,Kevin,1
27,Kelly,1
27,Jim,40
27,Jan,46
27,Dwight,22
27,Michael,71
28,Oscar,1
28,Stanley,4
28,Ryan,1
28,Phyllis,1
28,Pam,30
28,Toby,1
28,Michael,103
28,Jim,26
28,Kelly,2
28,Jan,52
28,Dwight,42
28,Creed,1
28,Angela,5
28,Kevin,4
29,Ryan,2
29,Phyllis,4
29,Pam,38
29,Oscar,6
29,Michael,80
29,Jim,52
29,Kelly,1
29,Dwight,34
29,Angela,13
29,Stanley,2
29,Kevin,8
30,Roy,4
30,Phyllis,6
30,Stanley,4
30,Oscar,68
30,Dwight,7
30,Kevin,74
30,Jan,6
30,Meredith,9
30,Angela,76
31,Stanley,1
31,Ryan,1
31,Roy,4
31,Phyllis,3
31,Pam,6
31,Oscar,16
31,Michael,50
31,Kevin,1
31,Toby,9
31,Karen,1
31,Jim,11
31,Jan,7
31,Dwight,17
31,Creed,1
31,Angela,4
31,Andy,5
31,Kelly,1
32,Toby,6
32,Stanley,1
32,Ryan,3
32,Phyllis,2
32,Pam,30
32,Michael,108
32,Meredith,1
32,Kelly,8
32,Jim,32
32,Jan,12
32,Dwight,37
32,Creed,2
32,Angela,9
32,Kevin,3
33,Michael,73
33,Stanley,2
33,Roy,2
33,Phyllis,5
33,Pam,16
33,Kelly,8
33,Kevin,4
33,Jim,11
33,Jan,25
33,Dwight,70
33,Creed,2
33,Angela,12
33,Andy,10
33,Karen,7
34,Toby,3
34,Ryan,6
34,Roy,5
34,Phyllis,3
34,Pam,25
34,Michael,81
34,Meredith,1
34,Kevin,2
34,Stanley,5
34,Karen,15
34,Jim,15
34,Jan,12
34,Dwight,35
34,Creed,6
34,Angela,6
34,Andy,4
34,Kelly,4
35,Toby,1
35,Stanley,6
35,Ryan,36
35,Phyllis,2
35,Pam,52
35,Michael,33
35,Kevin,3
35,Kelly,6
35,Jim,45
35,Jan,7
35,Dwight,45
35,Angela,4
35,Andy,5
35,Karen,9
36,Meredith,2
36,Stanley,1
36,Ryan,7
36,Roy,1
36,Phyllis,2
36,Toby,2
36,Michael,56
36,Kevin,6
36,Pam,23
36,Karen,14
36,Andy,14
36,Angela,10
36,Carol,12
36,Kelly,15
36,Dwight,6
36,Jim,19
36,Creed,1
37,Stanley,1
37,Ryan,7
37,Roy,4
37,Phyllis,8
37,Pam,22
37,Michael,67
37,Kevin,12
37,Toby,3
37,Karen,9
37,Jim,21
37,Jan,32
37,Dwight,39
37,Darryl,4
37,Angela,7
37,Andy,5
37,Kelly,2
38,Toby,16
38,Stanley,4
38,Ryan,9
38,Phyllis,8
38,Pam,36
38,Michael,125
38,Meredith,2
38,Kevin,7
38,Kelly,6
38,Jim,66
38,Jan,6
38,Dwight,73
38,Creed,2
38,Andy,40
38,Karen,26
38,Angela,4
39,Toby,4
39,Meredith,1
39,Stanley,2
39,Ryan,3
39,Phyllis,1
39,Pam,16
39,Michael,54
39,Karen,10
39,Jim,31
39,Jan,7
39,Dwight,4
39,Creed,2
39,Angela,10
39,Andy,17
39,Kevin,13
41,Toby,9
41,Ryan,6
41,Phyllis,4
41,Pam,81
41,Oscar,9
41,Michael,128
41,Meredith,18
41,Kevin,17
41,Stanley,9
41,Jim,50
41,Jan,7
41,Dwight,54
41,Darryl,5
41,Creed,9
41,Angela,44
41,Andy,6
41,Kelly,6
43,Toby,18
43,Stanley,5
43,Ryan,78
43,Phyllis,13
43,Pam,50
43,Oscar,3
43,Michael,138
43,Kelly,19
43,Jim,41
43,Jan,16
43,Dwight,67
43,Creed,10
43,Angela,22
43,Andy,14
43,Kevin,13
45,Meredith,12
45,Stanley,7
45,Ryan,6
45,Phyllis,8
45,Pam,24
45,Michael,146
45,Kevin,14
45,Oscar,8
45,Jim,67
45,Jan,6
45,Kelly,8
45,Dwight,84
45,Darryl,9
45,Angela,50
45,Andy,45
47,Toby,2
47,Stanley,9
47,Ryan,21
47,Phyllis,2
47,Pam,50
47,Oscar,25
47,Michael,137
47,Meredith,1
47,Kevin,9
47,Kelly,12
47,Jim,41
47,Jan,31
47,Dwight,38
47,Darryl,10
47,Creed,7
47,Angela,4
47,Andy,11
49,Stanley,1
49,Ryan,8
49,Phyllis,7
49,Pam,18
49,Oscar,1
49,Michael,61
49,Meredith,3
49,Angela,2
49,Jim,27
49,Dwight,10
49,David,3
49,Darryl,10
49,Creed,2
49,Andy,21
49,Kevin,3
50,Stanley,2
50,Oscar,8
50,Darryl,16
50,Kevin,35
51,Meredith,4
51,Toby,1
51,Stanley,8
51,Ryan,17
51,Phyllis,16
51,Pam,36
51,Oscar,18
51,Michael,116
51,Kevin,14
51,Jan,5
51,Jim,61
51,Kelly,12
51,Holly,55
51,Dwight,47
51,Darryl,10
51,Creed,5
51,Angela,25
51,Andy,29
53,Ryan,3
53,Phyllis,3
53,Pam,9
