Name,Category,Image URL,101,102,103,104,105,106,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,301,302,303,304,305,306,307,308,309,310,312,313,314,315,316,317,318,319,320,321,322,323,324,401,403,405,407,409,410,411,412,413,414,415,416,417,418,501,503,504,505,506,507,508,509,510,511,512,513,514,516,517,518,519,520,521,522,523,524,525,526,527,528,601,602,603,604,606,607,608,609,610,611,612,613,614,615,616,617,619,620,621,622,623,624,625,626,701,702,703,704,705,706,707,708,709,710,711,713,714,715,716,717,718,719,720,721,722,723,724,725,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,924
Jan,Jan,,12,12,30,30,30,38,47,58,58,58,58,58,104,156,156,156,156,156,156,156,211,227,227,227,232,232,232,272,279,291,316,328,335,335,367,373,380,380,392,393,393,399,399,399,445,475,475,475,486,486,529,536,552,558,589,589,589,589,615,687,688,688,688,688,712,717,717,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,771,771,771,771,771,771,771,771,771,771,771,771,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,798,798,798,798,798,798,798,798,806,806,806,806,806,806,806,806,806
Andy,Andy,https://www.kidsstreetonline.com/pub/media/catalog/product/cache/ca503f9e5ec9d5ec95b4b8adce0298ca/a/n/andy-bernard-1-_9.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,19,24,38,43,83,100,128,131,160,199,199,199,199,199,201,219,253,263,279,301,307,321,366,377,398,406,413,413,423,437,441,464,476,482,511,523,536,543,582,608,677,683,700,707,772,777,800,826,826,826,838,842,856,871,889,914,917,929,945,956,992,999,1002,1034,1091,1100,1137,1164,1188,1201,1223,1239,1240,1250,1274,1299,1323,1338,1373,1398,1401,1430,1471,1488,1504,1516,1564,1604,1642,1658,1682,1708,1718,1741,1769,1790,1841,1854,1891,1893,1921,1938,1947,1951,1975,1984,2010,2035,2085,2156,2219,2280,2314,2361,2404,2449,2506,2581,2616,2654,2695,2740,2761,2781,2809,2829,2861,2909,2962,3003,3031,3080,3113,3145,3189,3231,3281,3335,3344,3344,3344,3344,3344,3344,3344,3344,3406,3489,3494,3504,3535,3574,3642,3686,3717
Angela,Angela,,1,5,10,17,20,23,24,26,32,49,62,65,65,70,83,92,93,98,103,105,110,114,118,122,134,139,152,157,161,170,182,188,192,202,209,213,223,258,262,279,293,297,300,302,303,314,315,326,337,345,351,395,417,467,471,473,473,480,480,492,493,497,500,504,518,543,545,558,566,566,572,582,584,607,619,639,642,658,658,673,677,677,685,691,694,694,694,696,701,718,721,726,729,734,746,746,751,761,763,769,769,772,778,780,782,783,802,805,811,828,833,836,836,853,857,860,864,880,882,884,889,897,906,925,927,953,960,960,961,970,970,971,972,976,977,989,993,1004,1015,1021,1035,1038,1045,1049,1056,1056,1057,1059,1061,1062,1066,1097,1105,1105,1116,1125,1128,1129,1136,1143,1147,1150,1170,1186,1193,1195,1200,1206,1218,1239,1291,1302,1318,1331,1337,1338,1353,1357,1399,1407,1439,1441,1457,1486,1525,1548
Carol,Carol,,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,49,49,49,49,49,49,61,61,61,61,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95
Charles,Charles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,91,132,157,171,210,210,210,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
Clark,Clark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,35,57,61,73,78,78,82,82,82,82,117,118,150,154,163,172,177,200,236,242,250,255,258
Creed,Creed,,0,0,0,0,0,0,0,0,0,0,16,16,16,17,17,21,21,22,25,34,34,34,38,42,42,43,46,50,51,53,55,61,61,62,62,64,66,69,69,69,72,72,72,77,79,82,85,93,99,101,104,113,123,123,130,132,132,144,144,144,147,149,150,154,160,165,166,168,170,172,172,173,175,176,177,179,180,184,189,191,191,193,193,194,195,197,197,197,206,209,209,215,219,222,222,223,224,227,229,231,232,233,235,235,236,236,237,237,237,238,238,239,241,245,247,251,252,254,256,258,261,261,265,268,270,274,287,289,289,290,291,291,291,291,292,294,294,296,310,310,310,311,311,314,314,316,316,318,320,321,321,325,326,328,328,328,330,331,334,336,337,338,339,340,344,344,347,350,351,352,355,357,361,364,366,366,367,367,371,374,374,376,377,378,382,390
Darryl,Darryl,,0,0,0,0,15,15,16,25,25,25,25,25,25,25,25,36,39,39,39,42,69,69,69,70,70,70,70,78,78,78,78,78,78,78,82,82,82,85,91,91,91,91,91,91,91,133,164,164,164,164,164,169,169,178,188,198,198,198,201,201,201,201,214,220,222,232,232,241,249,278,279,279,279,279,285,285,285,291,291,291,291,294,294,294,294,294,294,294,295,295,295,295,310,310,310,310,310,317,317,317,317,317,317,317,317,317,317,317,326,336,339,343,369,373,379,384,388,399,407,430,456,458,458,458,470,493,514,517,526,541,541,541,551,559,561,564,572,577,603,607,614,663,672,681,696,719,730,754,764,774,783,788,811,815,829,833,858,865,866,871,885,885,899,902,912,943,954,960,964,967,973,989,1004,1023,1044,1046,1081,1084,1089,1090,1102,1102,1112,1123,1153,1172
David,David,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,20,20,20,29,74,74,74,74,74,77,77,77,81,81,81,81,81,81,81,81,81,81,86,86,86,101,112,118,118,126,135,145,145,145,145,170,188,188,188,188,188,225,225,225,238,238,272,278,278,278,278,278,278,282,296,305,324,324,358,358,358,358,358,358,358,358,358,358,359,359,359,359,359,359,359,359,359,359,359,359,359,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,376,380,397,398,398,398,398,398,405,411,414,414,414,414,414,423,423,433,449,449,449,449,449,486,486,488
