,Written by,Episode Rating,sentiment_score
0,Aaron Shure,7.866666666666667,0.11828386258243295
4,B. J. Novak,8.313333333333334,0.1405424874134517
5,Brent Forrester,8.322222222222223,0.11825840662916197
9,Charlie Grandy,7.814285714285714,0.13863629821355752
12,Daniel Chun,8.083333333333334,0.11626592432738074
13,Gene Stupnitsky and Lee Eisenberg,8.475,0.12852567786820437
15,Greg Daniels,8.585714285714285,0.14337677164447313
19,Jennifer Celotta,8.15,0.10842064540409553
25,Justin Spitzer,8.155555555555555,0.1310705652183555
32,Michael Schur,8.483333333333333,0.16415034587207689
34,Mindy Kaling,8.3,0.13807343445937878
37,Paul Lieberstein,8.299999999999999,0.10345214649551439
