Line_ID,Original air date,character,line_count,running_sum
101,2005-03-24,Andy,0,0
101,2005-03-24,Charles,0,0
101,2005-03-24,Michael,82,82
101,2005-03-24,David,0,0
101,2005-03-24,Jim,36,36
101,2005-03-24,Todd Packer,3,3
101,2005-03-24,Gabe,0,0
101,2005-03-24,Darryl,0,0
101,2005-03-24,Dwight,28,28
101,2005-03-24,Meredith,0,0
101,2005-03-24,Carol,0,0
101,2005-03-24,Kevin,1,1
101,2005-03-24,Jo,0,0
101,2005-03-24,Kelly,0,0
101,2005-03-24,Deangelo,0,0
101,2005-03-24,Toby,0,0
101,2005-03-24,Karen,0,0
101,2005-03-24,Ryan,8,8
101,2005-03-24,Nellie,0,0
101,2005-03-24,Robert,0,0
101,2005-03-24,Creed,0,0
101,2005-03-24,Phyllis,2,2
101,2005-03-24,Erin,0,0
101,2005-03-24,Clark,0,0
101,2005-03-24,Pete,0,0
101,2005-03-24,Angela,1,1
101,2005-03-24,Holly,0,0
101,2005-03-24,Pam,40,40
101,2005-03-24,Jan,12,12
101,2005-03-24,Roy,5,5
101,2005-03-24,Oscar,3,3
101,2005-03-24,Stanley,5,5
102,2005-03-29,Toby,2,2
102,2005-03-29,Charles,0,0
102,2005-03-29,Holly,0,0
102,2005-03-29,Stanley,5,10
102,2005-03-29,Jan,0,12
102,2005-03-29,Jim,25,61
102,2005-03-29,Michael,75,157
102,2005-03-29,Kelly,2,2
102,2005-03-29,Kevin,8,9
102,2005-03-29,Meredith,0,0
102,2005-03-29,Andy,0,0
102,2005-03-29,Carol,0,0
102,2005-03-29,Ryan,4,12
102,2005-03-29,Nellie,0,0
102,2005-03-29,Roy,0,5
102,2005-03-29,Oscar,13,16
102,2005-03-29,Angela,4,5
102,2005-03-29,Pam,12,52
102,2005-03-29,Pete,0,0
102,2005-03-29,Phyllis,0,2
102,2005-03-29,Karen,0,0
102,2005-03-29,Gabe,0,0
102,2005-03-29,Jo,0,0
102,2005-03-29,Robert,0,0
102,2005-03-29,Erin,0,0
102,2005-03-29,David,0,0
102,2005-03-29,Darryl,0,0
102,2005-03-29,Deangelo,0,0
102,2005-03-29,Dwight,17,45
102,2005-03-29,Clark,0,0
102,2005-03-29,Creed,0,0
102,2005-03-29,Todd Packer,0,3
103,2005-04-05,Karen,0,0
103,2005-04-05,Kelly,0,2
103,2005-04-05,Jo,0,0
103,2005-04-05,Kevin,6,15
103,2005-04-05,Ryan,1,13
103,2005-04-05,David,0,0
103,2005-04-05,Toby,0,2
103,2005-04-05,Meredith,3,3
103,2005-04-05,Andy,0,0
103,2005-04-05,Michael,56,213
